id,Wave Height,Wave Period,Avg Waves Per Second,Water Temp,Date
0,1.55,8.33,5.04,26.5,8/1/15
1,1.97,8.33,5.96,26.2,8/2/15
2,1.89,9.09,5.97,26.2,8/3/15
3,1.62,12.5,6.7,26.2,8/4/15
4,1.72,9.09,7.31,26.5,8/5/15
5,4.09,13.33,9.58,26.9,8/6/15
6,3.52,11.11,8.2,27,8/7/15
7,2.18,8.33,6,26.9,8/8/15
8,2.14,9.09,6.25,27.1,8/9/15
9,2.2,9.09,6.15,27,8/10/15
10,1.8,10.53,6.3,26.9,8/11/15
11,1.99,8.33,6.25,26.8,8/12/15
12,1.81,8.33,6.02,26.9,8/13/15
13,1.8,8.33,5.46,27.1,8/14/15
14,1.75,7.69,5.06,27.1,8/15/15
15,1.6,7.69,5,27.2,8/16/15
16,1.43,7.69,6.25,27.5,8/17/15
17,1.51,9.09,6.8,27.7,8/18/15
18,1.54,7.69,6.84,27.6,8/19/15
19,1.52,7.69,6.63,28.1,8/20/15
20,1.47,7.69,5.74,27.5,8/21/15
21,1.71,8.33,5.46,27.7,8/22/15
22,2.02,7.69,5.58,27.4,8/23/15
23,0.98,9.09,5.44,27.4,8/25/15
24,0.8,9.09,6.28,28,8/26/15
25,0.64,7.69,5.26,28.7,8/27/15
26,0.89,15.38,6.89,28.9,8/28/15
27,1.42,18.18,7.95,28.5,8/29/15
28,1.7,15.38,7.34,28.1,8/30/15
29,1.83,7.14,6.28,27.8,8/31/15
